target,model,n_features,features,f1_binary,accuracy,precision,recall,specificity,auc,auprc,utility,params
resu,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.947683090889291,0.9009467323973996,0.902535026830661,0.9975908963906448,0.03789643021296154,0.8220344143484402,0.9742974773989352,0.9305376715340141,"{""n_estimators"": 499, ""max_depth"": 7, ""learning_rate"": 0.06936332824322491, ""subsample"": 0.886373416571857, ""colsample_bytree"": 0.7131878993530649, ""gamma"": 2.522721803094565, ""min_child_weight"": 6.003024610045035}"
resu,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.9475813789000025,0.900805467293363,0.9028739566869313,0.9969624047609544,0.04212283044058745,0.8210916565990335,0.9744885142530213,0.9303555750457143,"{""n_estimators"": 469, ""num_leaves"": 28, ""learning_rate"": 0.014508160738978737, ""subsample"": 0.6823688363159462, ""colsample_bytree"": 0.9175808238049806, ""reg_alpha"": 0.10902879036981572, ""reg_lambda"": 0.3421968420884034, ""min_child_samples"": 69}"
resuo,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.9149706427413575,0.8441429438263534,0.8460882925029358,0.9960836030226069,0.03544327939819743,0.7214111078984221,0.9244909055200576,0.8791148146063805,"{""n_estimators"": 250, ""max_depth"": 7, ""learning_rate"": 0.12112507070923725, ""subsample"": 0.6630836235552544, ""colsample_bytree"": 0.6058007925982533, ""gamma"": 0.8070751084919493, ""min_child_weight"": 4.36742189634411}"
resuo,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.9148349249172008,0.8436719455400121,0.8449244423576042,0.9973705197991712,0.025611205734156556,0.7204879336653714,0.9246866712419429,0.8789210505642575,"{""n_estimators"": 391, ""num_leaves"": 124, ""learning_rate"": 0.024662999007720243, ""subsample"": 0.9174986340147253, ""colsample_bytree"": 0.9884587601641651, ""reg_alpha"": 0.6655287326586697, ""reg_lambda"": 0.26010341523385916, ""min_child_samples"": 37}"
resup,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.8812216672493687,0.7979371324259701,0.8068307464925759,0.9709516825814472,0.21262505437146584,0.8042285818494325,0.9301863596635096,0.8805124578936238,"{""n_estimators"": 425, ""max_depth"": 7, ""learning_rate"": 0.024047271279418678, ""subsample"": 0.7513299008271823, ""colsample_bytree"": 0.7473153055897077, ""gamma"": 1.811267262406447, ""min_child_weight"": 8.128754107192751}"
resup,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.8808949954450446,0.7980313054650198,0.8086788722958268,0.9675338665794824,0.22459189417393755,0.8017914277912247,0.92856661206999,0.8793757669017642,"{""n_estimators"": 200, ""num_leaves"": 83, ""learning_rate"": 0.011088848045223143, ""subsample"": 0.7353988358652473, ""colsample_bytree"": 0.6695680753152047, ""reg_alpha"": 0.6601680889265422, ""reg_lambda"": 0.19900252427171106, ""min_child_samples"": 47}"
resui,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.8041307517380922,0.7731618484178963,0.7711369405408812,0.8403616674038931,0.6896630223839176,0.8509625937281822,0.879515499129085,0.836112544353408,"{""n_estimators"": 302, ""max_depth"": 5, ""learning_rate"": 0.054034420630529253, ""subsample"": 0.6874420104057776, ""colsample_bytree"": 0.7139561134619405, ""gamma"": 2.6024099310183186, ""min_child_weight"": 1.1040005387041845}"
resui,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.8029967496811917,0.7693465815164643,0.7626894286809444,0.8482667950308045,0.6712816239008719,0.8505705264103216,0.8791607901962868,0.8353607171815463,"{""n_estimators"": 279, ""num_leaves"": 70, ""learning_rate"": 0.018666165634642726, ""subsample"": 0.8370765103337835, ""colsample_bytree"": 0.6192119310921479, ""reg_alpha"": 0.024950330356869443, ""reg_lambda"": 0.30124291971054706, ""min_child_samples"": 12}"
resuh,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.18675462521995834,0.896894896078593,0.13563620892162387,0.31645569620253167,0.919327497428785,0.72145606987996,0.10105001624372956,0.26798353145909004,"{""n_estimators"": 262, ""max_depth"": 3, ""learning_rate"": 0.011336866555647796, ""subsample"": 0.838758790023355, ""colsample_bytree"": 0.7122121243594398, ""gamma"": 2.8862872043953858, ""min_child_weight"": 7.848979275946036}"
resuh,LightGBM,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.1752456438642939,0.897837657925059,0.12932185024044707,0.2873417721518987,0.9214319933342235,0.7165954358551534,0.09401245726400105,0.2591456462823779,"{""n_estimators"": 448, ""num_leaves"": 78, ""learning_rate"": 0.01403619868553612, ""subsample"": 0.613354426090277, ""colsample_bytree"": 0.733377667687678, ""reg_alpha"": 0.3340639515223339, ""reg_lambda"": 0.6993419224611905, ""min_child_samples"": 96}"
resue,XGBoost,19,mage|gran|parn|amni|mulg|bir|prep|dm|htn|chor|prom|ster|sterp|sterd|atbyn|delm|gad|sex|bwei,0.1473178056788235,0.9173879963590712,0.11036104201937254,0.2648648648648648,0.9349038027500297,0.7269992420202098,0.07159987905048273,0.24053871495859852,"{""n_estimators"": 248, ""max_depth"": 3, ""learning_rate"": 0.03376708921003657, ""subsample"": 0.8757779427301039, ""colsample_bytree"": 0.8335299144248957, ""gamma"": 3.2423886877971784, ""min_child_weight"": 2.6863911480744753}"
