target,model,threshold
resu,XGBoost,0.13478103280067444
resu,LightGBM,0.11584220951259297
resuo,XGBoost,0.12604005634784698
resuo,LightGBM,0.12764049940171415
resup,XGBoost,0.1773170828819275
resup,LightGBM,0.2697350334565506
resui,XGBoost,0.37138548493385315
resui,LightGBM,0.3641064512061951
resuh,XGBoost,0.5040405988693237
resuh,LightGBM,0.21946133355855393
resue,XGBoost,0.43128150701522827
resue,LightGBM,0.07608180458949762
resuc,XGBoost,0.5607175827026367
resuc,LightGBM,0.5827567754869173
rds,XGBoost,0.2199077308177948
rds,LightGBM,0.210072240155532
sft,XGBoost,0.21280129253864288
sft,LightGBM,0.24012968528414486
sftw,XGBoost,0.5481199026107788
sftw,LightGBM,0.5289269648926107
als,XGBoost,0.4277185797691345
als,LightGBM,0.1700772597044447
mph,XGBoost,0.37320810556411743
mph,LightGBM,0.2517106817140899
ph,XGBoost,0.4196673035621643
ph,LightGBM,0.33608543117657563
bpdyn,XGBoost,0.33898869156837463
bpdyn,LightGBM,0.32155348810413903
bpdm,XGBoost,0.47273769974708557
bpdm,LightGBM,0.46537253909409415
pdad,XGBoost,0.45834583044052124
pdad,LightGBM,0.4505573180378448
acl,XGBoost,0.2154272496700287
acl,LightGBM,0.2551711659809245
lbp,XGBoost,0.5518115162849426
lbp,LightGBM,0.5351567177661462
ivh2,XGBoost,0.5990861654281616
ivh2,LightGBM,0.5960423830411594
ivh3,XGBoost,0.4839576780796051
ivh3,LightGBM,0.3666231607237384
pvl,XGBoost,0.16322223842144012
pvl,LightGBM,0.11052780508938251
seps,XGBoost,0.5633746385574341
seps,LightGBM,0.5364831699504227
ntet,XGBoost,0.377330482006073
ntet,LightGBM,0.3515456335843684
pmio,XGBoost,0.20583054423332214
pmio,LightGBM,0.328275084639584
eythtran,XGBoost,0.31236451864242554
eythtran,LightGBM,0.3619140832651509
deathyn,XGBoost,0.7179277539253235
deathyn,LightGBM,0.7286604988050709
supyn,XGBoost,0.5486431121826172
supyn,LightGBM,0.5420256835518695
