target,model,n_features,features,f1_binary,accuracy,precision,recall,specificity,auc,auprc,utility,params
resu,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.9473974498575799,0.9002872882146397,0.9012914849634477,0.9984810857899304,0.023386373087614088,0.7874246533028685,0.9686854350474927,0.9217892861036114,"{""n_estimators"": 235, ""max_depth"": 8, ""learning_rate"": 0.09298971040819011, ""subsample"": 0.8174505264725764, ""colsample_bytree"": 0.7643066440224603, ""gamma"": 0.1096672928734247}"
resu,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.9474838160167497,0.9003815499810844,0.900805156813813,0.9992667140435783,0.017305040600582196,0.791084088830104,0.9696694556265,0.9228595624623457,"{""n_estimators"": 202, ""num_leaves"": 56, ""learning_rate"": 0.09298710455862151, ""subsample"": 0.9891827078234032, ""colsample_bytree"": 0.6943251391012296, ""reg_alpha"": 0.0077743929382115, ""reg_lambda"": 0.16547769123965977}"
resuo,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.9148225559913765,0.8434364741241523,0.843940433629462,0.9987132867132867,0.01698158398978071,0.6994008664615194,0.9156290837343694,0.8719801764083028,"{""n_estimators"": 309, ""max_depth"": 5, ""learning_rate"": 0.05312327345985135, ""subsample"": 0.8943813622552252, ""colsample_bytree"": 0.8627275497684389, ""gamma"": 0.6103078534168244}"
resuo,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.9147492618018045,0.8434835550982152,0.8447055467936749,0.9974825018294521,0.023834362358952525,0.6985335570794233,0.9151657477914,0.8716310666542069,"{""n_estimators"": 225, ""num_leaves"": 38, ""learning_rate"": 0.019486216139989826, ""subsample"": 0.7113022654912855, ""colsample_bytree"": 0.7294648547047384, ""reg_alpha"": 0.05799214734813052, ""reg_lambda"": 0.11356458666307383}"
resup,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.8800085684170413,0.7960056146695664,0.8061782754432203,0.9688776565568853,0.21117941304403448,0.791171101826432,0.9251340291348986,0.8757787133142767,"{""n_estimators"": 298, ""max_depth"": 6, ""learning_rate"": 0.07511058446321597, ""subsample"": 0.7828395935533173, ""colsample_bytree"": 0.7218076448635711, ""gamma"": 1.82030394311546}"
resup,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.8796720392460899,0.7952521416297736,0.8051887366743253,0.9694266787786192,0.2060190278808348,0.7907934022720738,0.9253896778144706,0.8756116034218009,"{""n_estimators"": 243, ""num_leaves"": 15, ""learning_rate"": 0.03944989466945651, ""subsample"": 0.665840534436707, ""colsample_bytree"": 0.6807037320842568, ""reg_alpha"": 0.14387401982273243, ""reg_lambda"": 0.12091145294896415}"
resui,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.7969151693865599,0.7578067519551359,0.744336723498123,0.8575312381646242,0.6338847451651753,0.8397457119623655,0.8690815794231497,0.8271312009126979,"{""n_estimators"": 160, ""max_depth"": 5, ""learning_rate"": 0.027087979956275876, ""subsample"": 0.9624003232395496, ""colsample_bytree"": 0.7841111834579103, ""gamma"": 0.2556278947185482}"
resui,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.7964802117726724,0.7573825684606718,0.744560046974907,0.8566819821851392,0.6339885009575099,0.8392575276685349,0.8689411077777187,0.8267739437533588,"{""n_estimators"": 202, ""num_leaves"": 35, ""learning_rate"": 0.03182502555467395, ""subsample"": 0.73298755219397, ""colsample_bytree"": 0.6016075601060361, ""reg_alpha"": 0.034457308626035105, ""reg_lambda"": 0.2295194564585861}"
resuh,XGBoost,6,bwei|gad|mage|gran|chor|sterp,0.17422762967615887,0.9062239051344436,0.14619350886463514,0.2645569620253164,0.9310231880770278,0.7024836299965298,0.09996793326996466,0.2576009208183748,"{""n_estimators"": 285, ""max_depth"": 3, ""learning_rate"": 0.02448364120637654, ""subsample"": 0.6428479775308351, ""colsample_bytree"": 0.7140293251288282, ""gamma"": 2.266378289166167}"
resuh,LightGBM,6,bwei|gad|mage|gran|chor|sterp,0.1676040992851394,0.8904425179015838,0.12010832171836228,0.2936708860759493,0.9135063094675754,0.6918977953492144,0.09072987096514551,0.2494005700019562,"{""n_estimators"": 151, ""num_leaves"": 53, ""learning_rate"": 0.01176868772165203, ""subsample"": 0.6112321684384224, ""colsample_bytree"": 0.8289148533663819, ""reg_alpha"": 0.5903078513211042, ""reg_lambda"": 0.14165013206239524}"
