target,model,threshold
rds,RandomForest,0.36610280088384395
rds,XGBoost,0.24451510608196259
rds,LightGBM,0.25482092552525215
rds,LightGBM,0.25482092552525215
sft,RandomForest,0.3675996142093655
sft,XGBoost,0.2744545340538025
sft,LightGBM,0.26509142851400186
sft,LightGBM,0.26509142851400186
sftw,RandomForest,0.4237148317083322
sftw,XGBoost,0.565702497959137
sftw,LightGBM,0.5418650594707743
sftw,LightGBM,0.5418650594707743
als,RandomForest,0.6022038895520372
als,XGBoost,0.5817933678627014
als,LightGBM,0.22986182834471686
als,RandomForest,0.6022038895520372
mph,RandomForest,0.5917681892468256
mph,XGBoost,0.5825077295303345
mph,LightGBM,0.400282281429723
mph,RandomForest,0.5917681892468256
ph,RandomForest,0.563944257000362
ph,XGBoost,0.598987340927124
ph,LightGBM,0.5047567025540154
ph,XGBoost,0.598987340927124
bpdyn,RandomForest,0.39476442375031484
bpdyn,XGBoost,0.36007362604141235
bpdyn,LightGBM,0.3528751810670031
bpdyn,XGBoost,0.36007362604141235
bpdm,RandomForest,0.4302707270305236
bpdm,XGBoost,0.5340594053268433
bpdm,LightGBM,0.5231475309603754
bpdm,XGBoost,0.5340594053268433
pdad,RandomForest,0.40958575143226117
pdad,XGBoost,0.46668386459350586
pdad,LightGBM,0.47439534576750886
pdad,LightGBM,0.47439534576750886
acl,RandomForest,0.5797456230798266
acl,XGBoost,0.46150094270706177
acl,LightGBM,0.40269966128393425
acl,RandomForest,0.5797456230798266
lbp,RandomForest,0.39308322642035126
lbp,XGBoost,0.59211266040802
lbp,LightGBM,0.5533042780191348
lbp,RandomForest,0.39308322642035126
ivh2,RandomForest,0.4448461029297143
ivh2,XGBoost,0.6329136490821838
ivh2,LightGBM,0.6016810204717004
ivh2,XGBoost,0.6329136490821838
ivh3,RandomForest,0.5768591042830428
ivh3,XGBoost,0.5915233492851257
ivh3,LightGBM,0.44889329118766125
ivh3,RandomForest,0.5768591042830428
pvl,RandomForest,0.4853313150807093
pvl,XGBoost,0.17793455719947815
pvl,LightGBM,0.09571153758616864
pvl,LightGBM,0.09571153758616864
seps,RandomForest,0.40935461167980014
seps,XGBoost,0.519106924533844
seps,LightGBM,0.5191130770388022
seps,RandomForest,0.40935461167980014
ntet,RandomForest,0.5079219608441063
ntet,XGBoost,0.4181521534919739
ntet,LightGBM,0.34033734315272357
ntet,RandomForest,0.5079219608441063
ntety,RandomForest,0.5238433932902372
ntety,XGBoost,0.5531653165817261
ntety,LightGBM,0.5315137035111462
ntety,XGBoost,0.5531653165817261
pmio,RandomForest,0.5562592373104935
pmio,XGBoost,0.5291832685470581
pmio,LightGBM,0.16944577820354417
pmio,RandomForest,0.5562592373104935
eythtran,RandomForest,0.3916754858135586
eythtran,XGBoost,0.3669624924659729
eythtran,LightGBM,0.4043463960676436
eythtran,XGBoost,0.3669624924659729
deathyn,RandomForest,0.595534774363361
deathyn,XGBoost,0.596361517906189
deathyn,LightGBM,0.5083100966641416
deathyn,RandomForest,0.595534774363361
supyn,RandomForest,0.39679859165617815
supyn,XGBoost,0.5819022059440613
supyn,LightGBM,0.5395120880641786
supyn,RandomForest,0.39679859165617815
death7,RandomForest,0.6642752590008103
death7,XGBoost,0.6118302345275879
death7,LightGBM,0.5129487426881167
death7,XGBoost,0.6118302345275879
death14,RandomForest,0.6408763118128034
death14,XGBoost,0.53261798620224
death14,LightGBM,0.27669221391689136
death14,RandomForest,0.6408763118128034
death30,RandomForest,0.6347096531406389
death30,XGBoost,0.634320080280304
death30,LightGBM,0.5385922943381112
death30,RandomForest,0.6347096531406389
death60,RandomForest,0.5949358989782814
death60,XGBoost,0.4421390891075134
death60,LightGBM,0.5049280317407897
death60,RandomForest,0.5949358989782814
