target,model,threshold
resu,RandomForest,0.1697767830859379
resu,XGBoost,0.1300339698791504
resu,LightGBM,0.08576690475168601
resu,XGBoost,0.1300339698791504
resuo,RandomForest,0.27170163142929543
resuo,XGBoost,0.13238465785980225
resuo,LightGBM,0.14556903527432835
resuo,XGBoost,0.13238465785980225
resup,RandomForest,0.2579929203250696
resup,XGBoost,0.17705115675926208
resup,LightGBM,0.20492713768262116
resup,LightGBM,0.20492713768262116
resui,RandomForest,0.4138059038139484
resui,XGBoost,0.36694374680519104
resui,LightGBM,0.36380830749074794
resui,XGBoost,0.36694374680519104
resuh,RandomForest,0.4638004089350273
resuh,XGBoost,0.5481377840042114
resuh,LightGBM,0.39092149699650564
resuh,XGBoost,0.5481377840042114
resue,RandomForest,0.579169040346084
resue,XGBoost,0.512186586856842
resue,LightGBM,0.14123847161642977
resue,XGBoost,0.512186586856842
resuc,RandomForest,0.41055237165955416
resuc,XGBoost,0.5044002532958984
resuc,LightGBM,0.5425548759670014
resuc,RandomForest,0.41055237165955416
rds,RandomForest,0.3082071641520362
rds,XGBoost,0.2055538147687912
rds,LightGBM,0.20430661795335894
rds,XGBoost,0.2055538147687912
sft,RandomForest,0.28753998696896044
sft,XGBoost,0.23686948418617249
sft,LightGBM,0.23452168187370326
sft,LightGBM,0.23452168187370326
sftw,RandomForest,0.47107423991609887
sftw,XGBoost,0.5254417657852173
sftw,LightGBM,0.48487995459385547
sftw,RandomForest,0.47107423991609887
als,RandomForest,0.5189585913357695
als,XGBoost,0.4498078227043152
als,LightGBM,0.2014486393230377
als,XGBoost,0.4498078227043152
mph,RandomForest,0.4572455339663045
mph,XGBoost,0.41845250129699707
mph,LightGBM,0.28591538549936946
mph,XGBoost,0.41845250129699707
ph,RandomForest,0.5251802807734048
ph,XGBoost,0.5527470707893372
ph,LightGBM,0.3547861562806875
ph,XGBoost,0.5527470707893372
bpdyn,RandomForest,0.3590367862181522
bpdyn,XGBoost,0.3472059369087219
bpdyn,LightGBM,0.31916744421483356
bpdyn,XGBoost,0.3472059369087219
bpdm,RandomForest,0.42035286901935204
bpdm,XGBoost,0.4655841886997223
bpdm,LightGBM,0.4666880883783879
bpdm,RandomForest,0.42035286901935204
pdad,RandomForest,0.45268807054718757
pdad,XGBoost,0.4645001292228699
pdad,LightGBM,0.40916612563598537
pdad,RandomForest,0.45268807054718757
acl,RandomForest,0.30411034600202236
acl,XGBoost,0.28206104040145874
acl,LightGBM,0.2663061491268079
acl,LightGBM,0.2663061491268079
lbp,RandomForest,0.379339722115443
lbp,XGBoost,0.5348783135414124
lbp,LightGBM,0.5618585229235789
lbp,XGBoost,0.5348783135414124
ivh2,RandomForest,0.4525767616041129
ivh2,XGBoost,0.5920165777206421
ivh2,LightGBM,0.5899387502175986
ivh2,LightGBM,0.5899387502175986
ivh3,RandomForest,0.5008334189182888
ivh3,XGBoost,0.4426721930503845
ivh3,LightGBM,0.37522035452634406
ivh3,LightGBM,0.37522035452634406
pvl,RandomForest,0.17871632801933873
pvl,XGBoost,0.15319426357746124
pvl,LightGBM,0.10966020495686779
pvl,LightGBM,0.10966020495686779
seps,RandomForest,0.44032075926469433
seps,XGBoost,0.5485607981681824
seps,LightGBM,0.5315507342820075
seps,RandomForest,0.44032075926469433
ntet,RandomForest,0.4511181438140402
ntet,XGBoost,0.3818529546260834
ntet,LightGBM,0.21686359559104512
ntet,XGBoost,0.3818529546260834
pmio,RandomForest,0.47708670744986137
pmio,XGBoost,0.4885186553001404
pmio,LightGBM,0.3691445445423167
pmio,LightGBM,0.3691445445423167
eythtran,RandomForest,0.362657839792222
eythtran,XGBoost,0.30153220891952515
eythtran,LightGBM,0.37934345370927813
eythtran,RandomForest,0.362657839792222
deathyn,RandomForest,0.5642935126627359
deathyn,XGBoost,0.7394722104072571
deathyn,LightGBM,0.7127657356295444
deathyn,XGBoost,0.7394722104072571
supyn,RandomForest,0.3374710114075309
supyn,XGBoost,0.5681765675544739
supyn,LightGBM,0.5153092745349275
supyn,XGBoost,0.5681765675544739
