target,model,threshold
resu,XGBoost,0.06675245612859726
resuo,LightGBM,0.18765161158355273
resup,XGBoost,0.2387717068195343
resui,XGBoost,0.34531381726264954
resuh,LightGBM,0.5070999907264848
resue,RandomForest,0.7104919239969756
resuc,RandomForest,0.406983698812703
rds,XGBoost,0.19610780477523804
sft,XGBoost,0.22683867812156677
sftw,RandomForest,0.5027480536699827
als,RandomForest,0.5584580158010353
mph,RandomForest,0.5939329190218843
ph,XGBoost,0.5121688842773438
bpdyn,XGBoost,0.33613815903663635
bpdm,RandomForest,0.4231711456034146
pdad,RandomForest,0.47682898249404654
acl,RandomForest,0.4820876589469017
lbp,XGBoost,0.5402944684028625
ivh2,XGBoost,0.6220490336418152
ivh3,XGBoost,0.5068000555038452
pvl,XGBoost,0.40818291902542114
seps,LightGBM,0.5327105364692025
ntet,XGBoost,0.478916734457016
pmio,XGBoost,0.612116277217865
eythtran,XGBoost,0.3130325675010681
deathyn,XGBoost,0.7193467020988464
supyn,RandomForest,0.5069566187355609
death7,XGBoost,0.6754077672958374
death14,XGBoost,0.6197391748428345
death30,LightGBM,0.5716348792823045
death60,XGBoost,0.7415155172348022
